ID_PE;COD_NI;ID_MAT;COD_EST;ID_SEX;COD_PRO;ED_EST;N1;N2
59;7;70;27441;1;17;23;8;10
58;8;79;27438;1;17;24;8;9
59;9;33;27438;1;17;25;7;7
59;9;72;27438;1;17;25;6;8
57;7;97;27438;1;17;24;4;6
57;7;31;27438;1;17;24;6;8
57;7;70;27438;1;17;24;8;9
59;7;97;27436;1;05;23;8;10
58;8;71;27438;1;17;24;5;9
59;7;97;27441;1;17;23;8;10
57;7;51;27438;1;17;24;6;8
58;8;62;27438;1;17;24;7;8
58;7;51;27231;1;07;22;7;8
58;7;31;27231;1;07;22;5;7
58;7;97;27231;1;07;22;6;5
59;8;62;27231;1;07;23;8;10
58;7;51;27222;1;06;21;7;9
58;7;70;27231;1;07;22;8;9
59;8;71;27231;1;07;23;8;10
59;8;79;27231;1;07;23;8;10
58;7;51;27237;1;10;22;7;9
58;7;31;27237;1;10;22;6;7
58;7;97;27237;1;10;22;4;6
58;7;70;27237;1;10;22;8;9
59;8;62;27237;1;10;23;6;8
59;8;79;27237;1;10;23;7;10
59;8;71;27237;1;10;23;7;9
58;7;31;27234;1;05;22;6;7
58;7;97;27234;1;05;22;5;6
58;7;51;27234;1;05;22;7;10
59;8;79;27234;1;05;23;7;9
59;8;71;27234;1;05;23;7;9
59;8;62;27234;1;05;23;7;7
58;7;51;27230;1;11;22;5;9
58;7;70;27234;1;05;22;7;10
58;7;51;27226;1;17;23;7;8
59;7;31;27226;1;17;24;7;9
58;7;97;27226;1;17;23;3;5
59;8;71;27247;1;09;23;7;8
58;7;31;27226;1;17;23;4;8
58;7;70;27226;1;17;23;7;8
59;8;79;27230;1;11;23;8;10
59;8;62;27230;1;11;23;8;10
59;8;71;27230;1;11;23;7;10
58;7;70;27230;1;11;22;8;9
58;7;97;27230;1;11;22;4;6
58;7;31;27230;1;11;22;6;8
59;8;62;27227;1;17;23;7;8
59;8;71;27227;1;17;23;7;9
59;8;79;27227;1;17;23;8;10
58;7;51;27227;1;17;22;7;8
58;7;31;27227;1;17;22;5;8
58;7;97;27227;1;17;22;5;6
58;7;70;27227;1;17;22;8;9
58;7;70;27244;1;17;23;7;7
58;7;97;27244;1;17;23;4;5
59;8;62;27244;1;17;24;6;7
59;8;79;27244;1;17;24;8;10
59;8;71;27244;1;17;24;7;8
58;7;51;27244;1;17;23;6;7
58;7;31;27244;1;17;23;4;7
58;7;70;27247;1;09;22;8;9
58;7;97;27247;1;09;22;4;6
58;7;51;27247;1;09;22;7;8
58;7;31;27247;1;09;22;7;7
58;7;97;27246;1;06;22;4;6
58;7;70;27246;1;06;22;8;10
58;7;51;27246;1;06;22;7;8
58;7;31;27246;1;06;22;5;8
59;8;62;27246;1;06;23;6;8
59;8;79;27246;1;06;23;8;9
59;8;71;27246;1;06;23;6;8
59;8;71;27241;1;18;24;7;8
59;8;79;27241;1;18;24;8;10
59;8;62;27241;1;18;24;6;8
58;7;97;27241;1;18;23;5;7
58;7;31;27241;1;18;23;6;8
58;7;70;27241;1;18;23;8;9
58;7;51;27241;1;18;23;7;8
58;7;70;27222;1;06;21;7;9
59;7;97;27243;1;18;23;7;9
59;7;70;27243;1;18;23;7;10
59;7;51;27243;1;18;23;8;9
59;7;31;27243;1;18;23;8;9
59;8;62;27242;1;18;23;6;7
58;7;97;27242;1;18;22;3;5
58;7;70;27242;1;18;22;8;9
58;7;51;27242;1;18;22;8;7
59;8;79;27242;1;18;23;7;10
59;8;71;27242;1;18;23;7;9
58;7;31;27242;1;18;22;6;7
58;7;31;27208;1;05;21;5;7
59;7;97;27208;1;05;22;8;10
59;7;31;27208;1;05;22;7;9
58;7;97;27208;1;05;21;4;4
58;7;70;27208;1;05;21;7;10
58;7;51;27208;1;05;21;7;8
59;8;62;27213;1;05;25;6;7
59;8;71;27213;1;05;25;7;9
59;8;79;27213;1;05;25;7;9
59;7;97;27210;1;17;22;7;10
58;7;97;27210;1;17;21;4;4
58;7;51;27210;1;17;21;7;7
58;7;31;27210;1;17;21;6;9
58;7;70;27210;1;17;21;7;7
58;7;51;27213;1;05;24;7;9
58;7;31;27213;1;05;24;6;7
58;7;70;27213;1;05;24;6;9
58;7;97;27213;1;05;24;5;6
59;7;31;27205;1;05;23;7;8
59;7;97;27205;1;05;23;5;9
59;7;70;27205;1;05;23;8;10
59;7;51;27205;1;05;23;5;8
59;7;31;27207;1;06;22;7;8
59;7;51;27207;1;06;22;5;7
59;7;70;27207;1;06;22;8;10
59;7;97;27207;1;06;22;7;9
59;7;70;27215;1;17;23;8;10
58;7;31;27206;1;10;22;5;9
59;8;71;27206;1;10;23;7;9
59;8;79;27206;1;10;23;7;10
59;8;62;27206;1;10;23;7;8
58;7;51;27206;1;10;22;7;8
58;7;97;27206;1;10;22;5;7
58;7;70;27206;1;10;22;8;10
59;8;71;27218;1;10;23;7;10
59;8;62;27218;1;10;23;8;10
59;8;79;27218;1;10;23;8;10
58;7;97;27218;1;10;22;7;7
58;7;31;27218;1;10;22;7;8
58;7;51;27218;1;10;22;8;8
58;7;70;27218;1;10;22;8;10
59;8;71;27222;1;06;22;7;9
59;8;62;27222;1;06;22;6;7
59;8;79;27222;1;06;22;8;10
58;7;31;27222;1;06;21;5;8
58;7;97;27222;1;06;21;4;5
58;7;31;27221;1;17;22;7;7
58;7;51;27221;1;17;22;6;8
58;7;70;27221;1;17;22;8;8
58;7;97;27221;1;17;22;5;6
59;8;71;27221;1;17;23;7;8
59;8;62;27221;1;17;23;6;9
59;8;79;27221;1;17;23;8;8
58;7;31;27216;1;17;21;6;9
58;7;51;27216;1;17;21;7;8
58;7;70;27216;1;17;21;7;9
58;7;97;27216;1;17;21;3;5
59;7;97;27215;1;17;23;7;9
59;7;51;27215;1;17;23;5;6
59;7;31;27215;1;17;23;6;8
59;8;79;27216;1;17;22;8;10
59;8;71;27216;1;17;22;7;9
58;7;51;27217;1;18;22;8;7
58;7;70;27217;1;18;22;8;7
58;7;31;27217;1;18;22;4;7
58;7;97;27217;1;18;22;6;6
59;8;62;27217;1;18;23;6;3
59;8;71;27217;1;18;23;7;5
59;8;79;27217;1;18;23;8;4
59;8;62;27216;1;17;22;7;7
59;8;79;27275;1;05;26;8;10
59;8;62;27275;1;05;26;8;10
58;7;51;27275;1;05;25;7;9
58;7;97;27275;1;05;25;6;7
58;7;31;27275;1;05;25;7;8
58;7;70;27275;1;05;25;6;9
59;7;51;27265;1;10;23;7;9
59;7;31;27265;1;10;23;7;9
59;7;97;27265;1;10;23;7;10
59;7;70;27265;1;10;23;8;10
58;7;51;27264;1;05;21;6;10
58;7;97;27264;1;05;21;4;6
58;7;70;27264;1;05;21;8;8
58;7;31;27264;1;05;21;7;8
59;8;79;27256;1;18;22;8;9
59;8;71;27275;1;05;26;7;10
58;7;31;27256;1;18;21;6;7
58;7;97;27256;1;18;21;5;5
58;7;51;27256;1;18;21;7;8
59;8;71;27256;1;18;22;7;8
59;8;62;27256;1;18;22;5;8
58;7;70;27256;1;18;21;7;8
58;7;97;27259;1;04;22;3;5
58;7;70;27259;1;04;22;7;8
59;8;62;27264;1;05;22;6;7
59;8;79;27264;1;05;22;8;8
59;8;71;27264;1;05;22;7;9
58;7;51;27259;1;04;22;7;8
58;7;31;27259;1;04;22;6;8
59;8;71;27259;1;04;23;6;9
59;8;62;27259;1;04;23;6;8
59;8;79;27259;1;04;23;7;9
59;7;51;27267;1;13;22;8;9
59;7;70;27267;1;13;22;7;10
59;7;97;27272;1;11;23;6;10
59;7;70;27272;1;11;23;8;10
59;7;51;27272;1;11;23;8;10
59;7;31;27272;1;11;23;8;9
59;7;31;27267;1;13;22;8;9
58;7;31;27269;1;17;22;4;5
58;7;97;27269;1;17;22;4;5
58;7;70;27269;1;17;22;6;8
58;7;51;27269;1;17;22;5;6
59;7;97;27269;1;17;23;7;9
59;7;31;27269;1;17;23;8;9
59;8;79;27273;1;02;23;8;9
59;8;62;27273;1;02;23;5;8
59;8;71;27273;1;02;23;7;9
59;8;79;27247;1;09;23;8;9
58;7;31;27273;1;02;22;7;9
59;7;97;27267;1;13;22;7;10
58;7;97;27273;1;02;22;5;6
58;7;51;27273;1;02;22;8;9
58;7;70;27273;1;02;22;8;8
59;7;51;27251;1;18;23;5;7
59;7;51;27278;1;06;24;7;10
59;7;97;27251;1;18;23;7;10
59;7;31;27278;1;06;24;8;9
59;7;97;27278;1;06;24;7;9
59;7;51;27253;1;18;23;8;8
59;7;31;27251;1;18;23;6;7
59;7;70;27253;1;18;23;8;10
59;7;31;27253;1;18;23;7;9
59;7;97;27253;1;18;23;7;9
59;7;70;27251;1;18;23;8;10
58;7;70;27248;1;17;22;8;8
58;7;51;27248;1;17;22;7;8
59;8;62;27247;1;09;23;7;8
59;7;31;27248;1;17;23;7;9
58;7;31;27250;1;17;21;7;7
58;7;97;27250;1;17;21;5;6
58;7;31;27248;1;17;22;5;7
59;8;71;27250;1;17;22;7;9
59;8;79;27250;1;17;22;8;9
59;8;62;27250;1;17;22;5;8
58;7;51;27250;1;17;21;6;9
58;7;70;27250;1;17;21;8;8
58;7;97;27248;1;17;22;5;6
58;7;31;27277;1;06;22;6;8
58;7;51;27277;1;06;22;8;9
58;7;97;27277;1;06;22;5;7
59;8;79;27277;1;06;23;7;9
59;8;71;27277;1;06;23;8;9
58;7;70;27277;1;06;22;8;7
59;8;62;27277;1;06;23;7;7
59;7;70;27278;1;06;24;7;10
59;7;70;27318;1;02;23;8;10
59;7;97;27318;1;02;23;7;8
59;7;51;27318;1;02;23;8;10
59;7;31;27318;1;02;23;7;9
59;7;70;27323;1;18;22;8;10
59;7;51;27320;1;05;22;5;7
59;7;97;27320;1;05;22;7;10
59;7;70;27320;1;05;22;8;10
59;7;31;27320;1;05;22;7;9
59;8;62;27312;1;17;21;6;9
59;8;79;27312;1;17;21;7;9
59;8;71;27312;1;17;21;7;8
58;7;51;27312;1;17;20;8;10
58;7;97;27312;1;17;20;6;6
58;7;70;27312;1;17;20;8;9
58;7;31;27312;1;17;20;7;9
59;7;31;27313;1;05;21;7;9
59;7;51;27323;1;18;22;8;10
59;7;70;27313;1;05;21;8;10
59;7;97;27313;1;05;21;7;10
59;7;51;27313;1;05;21;7;9
59;7;51;27326;1;17;23;8;10
59;7;70;27326;1;17;23;8;10
59;7;70;27325;1;18;21;8;10
59;7;97;27326;1;17;23;7;10
59;7;31;27326;1;17;23;7;9
59;7;70;27324;1;02;22;8;10
59;7;97;27324;1;02;22;7;10
59;7;31;27324;1;02;22;7;9
59;7;51;27324;1;02;22;6;7
59;7;31;27323;1;18;22;7;9
59;7;97;27323;1;18;22;8;10
59;7;97;27325;1;18;21;8;10
59;7;31;27325;1;18;21;6;9
59;7;51;27325;1;18;21;5;7
58;7;31;27310;1;05;21;6;9
58;7;70;27292;1;18;22;6;10
58;7;97;27292;1;18;22;5;6
58;7;70;27291;1;06;23;8;8
59;8;62;27291;1;06;24;6;7
59;8;79;27291;1;06;24;8;10
58;7;51;27291;1;06;23;5;9
58;7;31;27291;1;06;23;4;7
58;7;97;27291;1;06;23;5;4
59;8;62;27292;1;18;23;6;7
59;8;71;27291;1;06;24;7;9
58;7;31;27292;1;18;22;6;6
58;7;31;27300;1;23;22;4;7
58;7;97;27300;1;23;22;5;4
58;7;51;27300;1;23;22;8;8
58;7;70;27300;1;23;22;8;8
59;8;71;27300;1;23;23;7;9
59;8;71;27292;1;18;23;7;9
